userID,restaurantID,RName,Cuisine,Area,Seats,Halls_Count,Summer_Terrace,VIP_Zone,Avg_Bill,Staff_Count,Michelin_Stars,Age,Gender,Profession,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Rating
V0921,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,55,Male,Sales,0.68,0.65,0.65,0.63,0.48,2.5
V0286,R050,Probka na Tsvetnom,Author's,173,37,2,Yes,Yes,3768,27,0,27,Female,Creative,0.65,0.53,0.74,0.51,0.54,1.0
V0004,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,27,Female,Student,0.54,0.42,0.77,0.64,0.68,2.0
V0853,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,36,Female,Sales,0.74,0.08,0.6,0.6,0.57,1.5
V0009,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,24,Female,Sales,0.84,0.41,0.24,0.43,0.45,4.0
V0714,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,61,Female,Medical,0.75,0.6,0.53,0.87,0.38,3.0
V0668,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,31,Male,Medical,0.63,0.47,0.55,0.56,0.43,2.5
V0415,R002,Artest Chef’s Table,Japanese,160,121,1,No,No,3285,32,0,54,Male,Manager,0.44,0.49,0.8,0.59,0.39,2.5
V0993,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,43,Male,Manager,0.5,0.3,0.48,0.74,0.79,4.0
V0701,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,21,Female,Finance,0.8,0.24,0.49,0.38,0.14,4.0
V0039,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,53,Female,Entrepreneur,0.69,0.47,0.46,0.74,0.67,3.5
V0074,R041,Aist,Mediterranean,127,59,1,No,No,5174,19,0,46,Female,Entrepreneur,0.47,0.58,0.35,0.7,0.33,2.0
V0322,R027,Wine & Crab,Russian,274,46,2,Yes,No,2744,44,0,47,Female,Entrepreneur,0.72,0.06,0.16,0.69,0.09,2.0
V0116,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,43,Female,Student,0.39,0.41,0.46,0.72,0.69,2.5
V0207,R032,Expedition,Asian,155,146,1,No,No,4513,30,0,64,Female,Sales,0.32,0.73,0.23,0.6,0.34,3.5
V0455,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,23,Female,Scientist,0.86,0.6,0.24,0.58,0.14,2.5
V0982,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,27,Male,Creative,0.85,0.56,0.53,0.54,0.37,2.5
V0274,R012,Maya,Italian,215,48,2,No,Yes,5227,40,1,47,Female,Finance,0.77,0.73,0.48,0.48,0.27,4.5
V0459,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,42,Female,Manager,0.69,0.58,0.57,0.67,0.89,3.0
V0775,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,25,Male,Service Worker,0.26,0.57,0.22,0.44,0.76,4.0
V0215,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,20,Male,Entrepreneur,0.71,0.53,0.43,0.65,0.64,2.5
V0690,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,48,Male,Finance,0.51,0.56,0.34,0.64,0.67,1.5
V0124,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,34,Male,Medical,0.33,0.78,0.59,0.7,0.48,3.0
V0276,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,61,Female,Service Worker,0.32,0.51,0.49,0.63,0.46,2.0
V0106,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,65,Male,IT Specialist,0.7,0.89,0.56,0.54,0.35,3.5
V0424,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,65,Male,IT Specialist,0.52,0.44,0.52,0.54,0.17,2.5
V0670,R021,Darbar,French,106,68,3,No,No,3143,13,0,45,Female,Finance,0.69,0.5,0.64,0.66,0.43,3.0
V0861,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,48,Male,Manager,0.65,0.48,0.2,0.66,0.59,2.5
V0446,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,62,Female,Service Worker,0.56,0.6,0.64,0.52,0.38,2.5
V0057,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,19,Female,Sales,0.54,0.74,0.35,0.78,0.23,3.0
V0656,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,30,Male,Creative,0.72,0.64,0.53,0.7,0.91,3.0
V0111,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,30,Female,Manager,0.67,0.63,0.5,0.57,0.21,2.5
