track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2DiXeuEpop3BfGDGxW8iVz,WANIMA,Can Not Behaved!!,Hey Lady,37,73226,False,0.456,0.935,9,-2.185,1,0.0883,4.28e-05,0.0,0.368,0.486,115.019,4,j-rock
7DAk5oLyfCSSQMazwbHzzM,Absolute Valentine,Police Heartbreaker,Bad News,49,238709,False,0.599,0.856,7,-7.964,1,0.0387,0.175,0.868,0.114,0.663,93.007,4,club
2CqRk31SgE8yNNbOfTSXqJ,Kampfar,Profan,Gloria Ablaze,20,271242,False,0.383,0.992,2,-5.072,1,0.142,4.14e-06,0.9,0.246,0.0348,140.019,4,black-metal
3Lf5fr3itZilalJH51cJVZ,De Doelleazen;Zender Obama;R.J. Wielstra;S. Schaafsma,Wy Jouwe Gas,Titom! Dop2dop (Remix),30,149830,False,0.707,0.966,1,-3.581,1,0.0656,0.00589,0.425,0.0285,0.715,165.019,4,hardstyle
0aRjYFawltapeyNgIKTNZC,Ikke Hüftgold,Ballerpunk,Das Geburtstagslied,30,192267,False,0.639,0.911,0,-2.505,1,0.107,0.0803,0.0,0.0845,0.565,139.973,4,disco
1YSzikNxRTOHPqDSbb6j6s,Zé Ricardo & Thiago,Turbinada,Turbinada,44,169878,False,0.735,0.862,0,-4.156,1,0.0527,0.338,0.0,0.0962,0.674,131.99,4,sertanejo
0ZcATDHTa1c128KqmVUk2j,Lady Gaga,Workout Hits 2023,The Edge Of Glory,3,320626,False,0.583,0.766,9,-6.47,1,0.0408,0.000348,0.0125,0.108,0.395,127.95,4,dance
6qk3jI8bKCgURI3h0d8zBZ,Wande Coal,Realms,Again,59,156083,False,0.654,0.39,1,-9.858,0,0.36,0.688,0.0,0.106,0.552,125.944,5,dancehall
5sS5Jqw2h7WFw5yWVk3kPr,Jor'dan Armstrong,Vibes,Count It,21,177738,False,0.517,0.858,9,-5.168,0,0.103,0.132,0.0,0.092,0.55,100.04,4,afrobeat
5YkKpbHgr62AmlkLh2pwDc,O Teatro Mágico,Entrada para Raros (10th Anniversary Edition),O Anjo Mais Velho,44,342786,False,0.628,0.816,4,-5.393,1,0.0396,0.437,0.000209,0.189,0.625,113.068,4,mpb
